entry_time,mint,symbol,entry_price_usd,exit_time,exit_price_usd,exit_reason,pnl_percent,pnl_usd,pnl_sol,assumed_position_usd,assumed_position_sol,ret15_percent,ret5_percent,greens_last5,likely_non_fill_reason,confidence,confidence_notes
2026-02-24T16:01:12.020Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.001013,2026-02-24T16:12:43.268Z,0.0010124935000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.60%,+4.39%,3,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
2026-02-24T16:01:12.020Z,41HpD32jdC3JRVWDoD3j8rjHdNM4mjqmoSaCSZwdpump,NIGSOM,0.00005977,2026-02-24T16:01:49.255Z,0.000059740115,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+18.57%,+3.59%,2,route/quote unavailable,low,candidate reason=marketData(lowConfidence); no track artifact for mint/day
2026-02-24T16:01:29.487Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002064,2026-02-24T16:03:08.481Z,0.002062968,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+15.70%,+4.82%,2,cooldown collision,high,prev event 64s ago (< cooldown 180s)
2026-02-24T16:01:29.487Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001952,2026-02-24T16:01:49.254Z,0.001951024,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+15.78%,+16.61%,2,cooldown collision,high,prev event 159s ago (< cooldown 180s)
2026-02-24T16:01:29.487Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0002886,2026-02-24T16:04:59.078Z,0.00028845570000000004,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+8.17%,+3.48%,2,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:01:29.487Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.001013,2026-02-24T16:12:43.268Z,0.0010124935000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+3.60%,+4.39%,2,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:01:29.487Z,ByPRjYBLskAca3sRhfaAA7ZYumG5bFLvE9xETWVdpump,ADHD,0.00002872,2026-02-24T16:05:57.493Z,0.000042213600000000005,trailingStop,+46.98%,9.3967,0.11387127,20.0000,0.24236549,+69.64%,+33.89%,3,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:01:29.488Z,41HpD32jdC3JRVWDoD3j8rjHdNM4mjqmoSaCSZwdpump,NIGSOM,0.00005977,2026-02-24T16:01:49.255Z,0.000059740115,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+18.57%,+3.59%,2,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:01:49.253Z,ByPRjYBLskAca3sRhfaAA7ZYumG5bFLvE9xETWVdpump,ADHD,0.00002872,2026-02-24T16:05:57.493Z,0.000042213600000000005,trailingStop,+46.98%,9.3967,0.11387127,20.0000,0.24236549,+69.64%,+13.38%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:01:49.254Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.0002096,2026-02-24T16:02:27.686Z,0.0002094952,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+23.37%,+20.60%,2,cooldown collision,high,prev event 37s ago (< cooldown 180s)
2026-02-24T16:01:49.254Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001874,2026-02-24T16:05:57.493Z,0.0018730630000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+10.82%,+11.15%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:01:49.255Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.00102,2026-02-24T16:12:17.190Z,0.00101949,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.08%,+2.94%,3,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:01:49.255Z,41HpD32jdC3JRVWDoD3j8rjHdNM4mjqmoSaCSZwdpump,NIGSOM,0.00005953,2026-02-24T16:02:27.687Z,0.000059500235000000006,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+18.09%,+1.95%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:02:06.236Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002075,2026-02-24T16:03:08.481Z,0.0020739625,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+14.51%,+6.03%,2,cooldown collision,high,prev event 37s ago (< cooldown 180s)
2026-02-24T16:02:06.236Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.0002096,2026-02-24T16:02:27.686Z,0.0002094952,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+23.37%,+20.60%,2,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:02:06.236Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0002921,2026-02-24T16:03:48.763Z,0.00029195395,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+8.15%,+6.03%,2,cooldown collision,high,prev event 37s ago (< cooldown 180s)
2026-02-24T16:02:06.236Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.00102,2026-02-24T16:12:17.190Z,0.00101949,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.08%,+2.94%,2,cooldown collision,high,prev event 17s ago (< cooldown 180s)
2026-02-24T16:02:27.686Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002075,2026-02-24T16:03:08.481Z,0.0020739625,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+13.33%,+5.33%,2,cooldown collision,high,prev event 21s ago (< cooldown 180s)
2026-02-24T16:02:27.686Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.002049,2026-02-24T16:03:08.481Z,0.0020479755000000002,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+16.16%,+18.85%,2,cooldown collision,high,prev event 38s ago (< cooldown 180s)
2026-02-24T16:02:27.686Z,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Aliens,0.001026,2026-02-24T16:11:35.421Z,0.001025487,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+4.62%,+3.54%,2,cooldown collision,high,prev event 21s ago (< cooldown 180s)
2026-02-24T16:02:27.687Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.000521,2026-02-24T16:04:31.826Z,0.0005207395,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+37.98%,+22.47%,2,cooldown collision,high,prev event 98s ago (< cooldown 180s)
2026-02-24T16:02:48.057Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002077,2026-02-24T16:03:08.481Z,0.0020759615,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+14.88%,+6.13%,2,cooldown collision,high,prev event 20s ago (< cooldown 180s)
2026-02-24T16:02:48.057Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0005359,2026-02-24T16:04:31.826Z,0.00053563205,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+38.37%,+22.52%,3,cooldown collision,high,prev event 20s ago (< cooldown 180s)
