entryT,mint,symbol,entryPrice,ret15,ret5,greensLast5,cooldownCollision,sampleGapPrevMs,sampleGapNextMs,minFuture2mPct,trackedSameDay,nearCandOutcome,nearCandReason,likelyNonFillReason,confidence,confidenceNotes,proxyExitReason,proxyPnlPct,maxRunupPct,maxDrawdownPct
2026-02-24T18:34:54.426Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001593,0.11867977528089894,0.04733727810650889,2,true,17484,17729,-0.006277463904582565,true,seen,evaluated,cooldown collision,high,prev event 17s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999436,0,-0.006277463904582565
2026-02-24T18:35:12.155Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001583,0.0609919571045576,0.04076265614727152,2,true,17729,22936,0,true,seen,evaluated,cooldown collision,high,prev event 18s ago (< cooldown 180s),stopAtEntry,-0.000499999999999962,0.017056222362602725,-0.011370814908401772
2026-02-24T18:35:12.157Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.000319,0.06404269513008665,0.0363872644574399,2,true,17730,22936,-0.0711598746081505,true,seen,evaluated,cooldown collision,high,prev event 35s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998855,0,-0.058620689655172475
2026-02-24T18:35:35.093Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.000319,0.06617647058823527,0.036724081897952565,2,true,22936,18448,-0.0711598746081505,true,seen,evaluated,cooldown collision,high,prev event 23s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998855,0,-0.058620689655172475
2026-02-24T18:36:10.457Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.0001556,0.17433962264150937,0.03733333333333334,2,true,16917,21583,-0.01156812339331613,true,seen,evaluated,cooldown collision,high,prev event 135s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999641,0.0025706940874036617,-0.01156812339331613
2026-02-24T18:36:32.041Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.00161,0.07908847184986598,0.04274611398963736,2,true,21584,22257,-0.0062111801242236185,true,seen,evaluated,cooldown collision,high,prev event 80s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999936,0,-0.00559006211180131
2026-02-24T18:36:32.042Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.000109,0.05620155038759695,0.01679104477611943,2,false,21584,22257,-0.03669724770642204,true,seen,evaluated,data insufficiency/unknown,low,nearby reason=evaluated,stopAtEntry,-0.0004999999999999151,0,-0.02293577981651382
2026-02-24T18:36:54.298Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.000156,0.17735849056603775,0.0655737704918032,2,true,22258,21084,-0.0858974358974359,true,seen,evaluated,cooldown collision,high,prev event 44s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998801,0,-0.014102564102564098
2026-02-24T18:36:54.298Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.00161,0.09673024523160777,0.04274611398963736,2,true,22257,21085,-0.0062111801242236185,true,seen,evaluated,cooldown collision,high,prev event 22s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999936,0,-0.00559006211180131
2026-02-24T18:36:54.298Z,4KVGATyKJNhm8y8afj5314rNAkB9MZGJVDE5cCKTpump,KOL,0.0002457,0.23096192384769543,0.053602058319039476,2,false,22257,21085,-0.019536019536019567,true,seen,evaluated,data insufficiency/unknown,low,nearby reason=evaluated,stopAtEntry,-0.0004999999999999518,0,-0.004477004477004586
2026-02-24T18:36:54.298Z,44K1ecLg2t9p9VJvuNf97ZhXnyEJnCcGafdHAc1Wpump,Skeleton,0.00002765,0.047745358090185736,0.047745358090185736,2,false,22257,21084,-0.020253164556962074,true,seen,evaluated,data insufficiency/unknown,low,nearby reason=evaluated,stopAtEntry,-0.0004999999999999322,0,-0.020253164556962074
2026-02-24T18:37:15.382Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.000156,0.17735849056603775,0.0692254969156957,2,true,21084,18943,-0.0858974358974359,true,seen,evaluated,cooldown collision,high,prev event 21s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998801,0,-0.014102564102564098
2026-02-24T18:37:15.383Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003654,0.5149253731343283,0.16666666666666655,3,true,21085,18943,-0.14176245210727972,true,seen,evaluated,cooldown collision,high,prev event 179s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998909,0.013136288998357986,-0.14176245210727972
